Malzeme Grubu;;;;Kategori;;;;;;Yapay zekaya sorgulatıp yorumlatılacak algoritmalar;;;;;;;;
;;;;;;;;;Birim Fiyat;;;;;;;;;
;;;;;;;;;Birim Fiyat;;;;;;;;;
;;;;;Net Satış Miktar;Net Satış Miktarı (Metre);Kdv Li Net Satış Tutar;Kdv Li Net Satış Dövizli Tutar;Birim Fiyat;;;;;;;;;
;;;;;959.226,72;1.003.701,12;575.332.012,44;2.933.594,05;113.602.010,18;;;;;;;;;
AdaHome Amerikan Servis 4 lü Set;;;;AdaHome Amerikan Servis 4 lü Set;734,00;734,00;234.853,71;2.588,61;175.442,62;Malezeme grubu AdaHome Amerikan Servis olan hücrenin Net Satış Miktarı 5 den az is: Amerikan servislerimizi neden satmıyorsunuz ? Bu ürünleri satmak için size birkaç önerimiz var……;;;;;;;;
AdaHome Amerikan Servis 4 lü Set Özel Tasarım;;;;AdaHome Amerikan Servis 4 lü Set Özel Tasarım;9,00;9,00;4.644,58;14,00;3.681,65;;;;;;;;;
AdaHome Amerikan Servis 4 lü Set Yılbaşı;;;;AdaHome Amerikan Servis 4 lü Set Yılbaşı;87,00;87,00;31.666,29;91,20;22.330,45;;;;;;;;;
AdaHome Çam Eteği Yılbaşı;;;;AdaHome Çam Eteği Yılbaşı;570,00;570,00;207.402,69;17,00;134.008,01;;;;;;;;;
AdaHome Dolgulu Yastık Fırfırlı;;;;AdaHome Dolgulu Yastık Fırfırlı;7.626,00;7.626,00;2.585.391,94;12.599,55;1.460.515,46;AdaHome Dolgulu yastık ürünlerinin satış miktarları 10 dan az ise şunlar bunlar yapılmalı…..AdaHome Yastık Kılıfı alarak nakliyeden tasarruf edeceğinizi biliyormusunuz…..;;;;;;;;
AdaHome Dolgulu Yastık Fırfırlı Özel Tasarım;;;;AdaHome Dolgulu Yastık Fırfırlı Özel Tasarım;1.512,00;1.512,00;569.109,40;10.097,55;83.910,63;;;;;;;;;
AdaHome Dolgulu Yastık Fırfırlı Yılbaşı;;;;AdaHome Dolgulu Yastık Fırfırlı Yılbaşı;335,00;335,00;124.976,74;10,00;51.484,47;;;;;;;;;
AdaHome Yastık Kılıfı Fırfırlı;;;;AdaHome Yastık Kılıfı Fırfırlı;1.074,00;1.074,00;248.157,69;7.561,79;60.896,98;;;;;;;;;
AdaHome Yastık Kılıfı Fırfırlı Özel Tasarım ;;;;AdaHome Yastık Kılıfı Fırfırlı Özel Tasarım;30,00;30,00;11.570,56;171,00;5.833,44;;;;;;;;;
AdaHome Döşemelik Kumaşlar;;;;AdaHome Döşemelik Kumaşlar;162,80;162,80;71.298,18;0;8.446,74;AdaHome Döşemelik kumaş eğer net satış miktarı 10 metreden az ise, 4 farklı döşemelik el kartelamız var bu kartelalar mağzanızda var. Gelen müşterilere size döşemelik kumaş olduğunuda söylüyormusunuz ?;;;;;;;;
AdaHome Kumaş Baskılı Blackout;;;;AdaHome Kumaş Baskılı Blackout;549,01;549,01;294.410,47;2.042,00;70.862,31;Net satış miktarı 10 dan az sa Baskılı Kumaşlarımızı neden satamıyorsunuz, İstediğiniz bir deseni 5 kumaş çeşidimizden herhangi bir kumaşımıza bastırıp ceket bile diktirebileceğinizi biliyormusunuz ?;;;;;;;;
AdaHome Kumaş Baskılı Blackout Özel Tasarım ;;;;AdaHome Kumaş Baskılı Blackout Özel Tasarım;160,52;160,52;90.322,69;120,17;24.034,23;;;;;;;;;
AdaHome Kumaş Baskılı İnce Keten;;;;AdaHome Kumaş Baskılı İnce Keten;73,50;73,50;34.287,78;402,82;7.911,56;;;;;;;;;
AdaHome Kumaş Baskılı İnce Keten Özel Tasarım ;;;;AdaHome Kumaş Baskılı İnce Keten Özel Tasarım;46,46;46,46;21.291,21;0;10.296,18;;;;;;;;;
